Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
15,46.7,0.4,6.0,3.0,36.2,1,7,8,EURSEK
15,40.0,0.2,3.0,6.0,40.5,0,6,9,CADCHF
16,37.5,0.125,2.0,3.0,21.7,0,6,10,AUDJPY
10,40.0,0.2,2.0,3.0,43.3,0,4,6,AUDCAD
19,36.8,0.105,2.0,6.0,37.7,1,7,12,TRYJPY
19,36.8,0.105,2.0,6.0,16.8,0,7,12,AUDNZD
13,38.5,0.154,2.0,4.0,26.4,1,5,8,USDHUF
14,35.7,0.071,1.0,7.0,36.1,1,5,9,GBPCHF
14,35.7,0.071,1.0,3.0,44.4,0,5,9,EURCHF
14,35.7,0.071,1.0,3.0,30.3,0,5,9,USDSEK
14,35.7,0.071,1.0,6.0,24.2,0,5,9,GBPCAD
9,33.3,0.0,0.0,3.0,49.2,0,3,6,EURJPY
21,33.3,0.0,0.0,6.0,20.4,0,7,14,CHFJPY
12,33.3,0.0,0.0,3.0,26.6,0,4,8,EURAUD
15,33.3,0.0,0.0,3.0,33.2,0,5,10,EURNOK
16,31.2,-0.062,-1.0,6.0,26.8,0,5,11,MXNJPY
11,27.3,-0.182,-2.0,4.0,29.8,0,3,8,USDCAD
9,22.2,-0.333,-3.0,4.0,33.4,0,2,7,ZARJPY
12,25.0,-0.25,-3.0,5.0,46.5,0,3,9,AUDCHF
22,27.3,-0.182,-4.0,7.0,17.7,0,6,16,USDJPY
16,25.0,-0.25,-4.0,8.0,24.8,0,4,12,PLNJPY
11,18.2,-0.455,-5.0,6.0,21.4,1,2,9,USDPLN
17,23.5,-0.294,-5.0,9.0,21.6,0,4,13,EURNZD
15,20.0,-0.4,-6.0,8.0,21.0,0,3,12,NZDCAD
15,20.0,-0.4,-6.0,8.0,25.3,1,3,12,GBPAUD
24,25.0,-0.25,-6.0,10.0,18.1,0,6,18,HKDJPY
15,20.0,-0.4,-6.0,9.0,40.2,0,3,12,EURCAD
13,15.4,-0.538,-7.0,7.0,20.8,0,2,11,EURGBP
19,21.1,-0.368,-7.0,8.0,24.5,0,4,15,SGDJPY
10,10.0,-0.7,-7.0,7.0,36.7,0,1,9,USDNOK
13,15.4,-0.538,-7.0,8.0,16.9,0,2,11,USDMXN
16,18.8,-0.438,-7.0,10.0,21.4,1,3,13,NZDCHF
10,10.0,-0.7,-7.0,7.0,19.6,1,1,9,AUDUSD
13,15.4,-0.538,-7.0,8.0,17.8,1,2,11,CADJPY
14,14.3,-0.571,-8.0,9.0,21.5,0,2,12,USDILS
20,20.0,-0.4,-8.0,12.0,19.4,0,4,16,EURUSD
35,25.7,-0.229,-8.0,14.0,15.5,1,9,26,USDTRY
12,8.3,-0.75,-9.0,9.0,23.1,0,1,11,GBPJPY
12,8.3,-0.75,-9.0,10.0,18.3,0,1,11,USDZAR
19,15.8,-0.526,-10.0,12.0,20.5,0,3,16,USDCHF
16,12.5,-0.625,-10.0,10.0,20.4,0,2,14,NZDUSD
14,7.1,-0.786,-11.0,11.0,21.9,0,1,13,NZDJPY
18,11.1,-0.667,-12.0,14.0,14.8,0,2,16,GBPNZD
19,10.5,-0.684,-13.0,17.0,22.1,1,2,17,GBPUSD
