Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
18,55.6,0.389,7.0,2.0,27.4,1,10,8,EURSEK
22,50.0,0.25,5.5,6.5,15.3,0,11,11,AUDNZD
10,60.0,0.5,5.0,2.0,37.3,0,6,4,AUDCAD
21,47.6,0.19,4.0,4.0,29.4,0,10,11,TRYJPY
10,50.0,0.25,2.5,2.0,31.4,0,5,5,EURJPY
16,43.8,0.094,1.5,3.0,25.4,0,7,9,USDSEK
19,42.1,0.053,1.0,6.5,11.9,0,8,11,GBPCAD
16,37.5,-0.062,-1.0,3.5,31.4,0,6,10,EURNOK
21,38.1,-0.048,-1.0,7.0,15.9,0,8,13,CHFJPY
11,36.4,-0.091,-1.0,5.0,20.6,1,4,7,AUDUSD
16,37.5,-0.062,-1.0,4.5,20.1,0,6,10,USDHUF
19,36.8,-0.079,-1.5,7.5,23.0,1,7,12,GBPCHF
19,36.8,-0.079,-1.5,4.0,17.4,0,7,12,MXNJPY
12,33.3,-0.167,-2.0,3.5,16.9,0,4,8,EURAUD
17,35.3,-0.118,-2.0,6.0,31.5,0,6,11,EURCAD
10,30.0,-0.25,-2.5,4.0,22.2,0,3,7,ZARJPY
18,33.3,-0.167,-3.0,8.0,21.1,0,6,12,PLNJPY
18,33.3,-0.167,-3.0,4.5,16.1,0,6,12,AUDJPY
23,34.8,-0.13,-3.0,5.0,14.0,0,8,15,USDJPY
18,33.3,-0.167,-3.0,5.0,22.5,0,6,12,EURCHF
11,27.3,-0.318,-3.5,4.0,18.2,1,3,8,USDPLN
11,27.3,-0.318,-3.5,4.5,24.5,0,3,8,USDCAD
16,31.2,-0.219,-3.5,8.5,18.4,0,5,11,NZDCAD
21,33.3,-0.167,-3.5,8.0,21.3,0,7,14,CADCHF
14,28.6,-0.286,-4.0,6.5,19.9,0,4,10,EURGBP
14,28.6,-0.286,-4.0,8.0,18.3,0,4,10,CADJPY
19,31.6,-0.211,-4.0,10.5,21.3,1,6,13,NZDCHF
12,25.0,-0.375,-4.5,5.5,27.0,0,3,9,USDNOK
25,32.0,-0.2,-5.0,5.5,15.0,0,8,17,HKDJPY
18,27.8,-0.306,-5.5,6.5,22.3,0,5,13,GBPAUD
16,25.0,-0.375,-6.0,6.5,9.7,0,4,12,USDMXN
14,21.4,-0.464,-6.5,7.0,34.0,0,3,11,AUDCHF
17,23.5,-0.412,-7.0,9.0,19.1,0,4,13,EURNZD
20,25.0,-0.375,-7.5,9.5,23.1,0,5,15,SGDJPY
20,25.0,-0.375,-7.5,10.5,16.7,0,5,15,EURUSD
38,31.6,-0.211,-8.0,14.0,13.0,0,12,26,USDTRY
21,23.8,-0.405,-8.5,12.0,16.0,0,5,16,GBPUSD
17,17.6,-0.559,-9.5,10.0,12.7,0,3,14,USDILS
12,8.3,-0.792,-9.5,10.0,18.2,0,1,11,USDZAR
12,8.3,-0.792,-9.5,9.5,23.1,0,1,11,GBPJPY
23,21.7,-0.457,-10.5,11.0,12.3,0,5,18,USDCHF
16,12.5,-0.688,-11.0,11.0,20.2,0,2,14,NZDUSD
14,7.1,-0.821,-11.5,11.5,21.6,0,1,13,NZDJPY
18,11.1,-0.722,-13.0,14.5,14.9,0,2,16,GBPNZD
