pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,asset_class
AUDCAD=X,LONG,2021-12-22,0.9236199855804443,0.9103135294097006,0.9502328979219319,87,True,False,False,0.051,2022-01-07,0.9103135294097006,LOSS,12.0,forex
AUDCAD=X,LONG,2022-02-23,0.9226109981536865,0.9094946976989852,0.9488435990630892,132,True,False,False,0.291,2022-04-05,0.9488435990630892,WIN,29.0,forex
AUDCAD=X,LONG,2022-07-28,0.8964800238609314,0.8817408275220089,0.9259584165387764,243,True,False,False,0.027,2022-09-08,0.8817408275220089,LOSS,30.0,forex
AUDCAD=X,LONG,2022-11-15,0.8916400074958801,0.8717501063785781,0.9314198097304842,321,True,False,False,0.021,2022-12-13,0.9314198097304842,WIN,20.0,forex
AUDCAD=X,LONG,2023-01-26,0.9510700106620789,0.9325992730029676,0.9880114859803013,373,True,False,False,0.043,2023-02-03,0.9325992730029676,LOSS,6.0,forex
AUDCAD=X,LONG,2023-11-02,0.8884850144386292,0.8728345743807797,0.919785894554328,573,True,False,False,0.452,2024-02-08,0.8728345743807797,LOSS,70.0,forex
AUDCAD=X,LONG,2024-05-16,0.9106349945068359,0.8991246810777921,0.9336556213649236,713,True,False,False,0.253,2024-07-31,0.8991246810777921,LOSS,54.0,forex
AUDCAD=X,LONG,2024-08-20,0.9180690050125122,0.9045895117474514,0.9450279915426338,781,True,False,False,0.154,2024-09-06,0.9045895117474514,LOSS,13.0,forex
AUDCAD=X,LONG,2025-02-26,0.9082900285720825,0.897763580163843,0.9293429253885617,916,True,False,False,0.085,2025-02-28,0.897763580163843,LOSS,2.0,forex
AUDCAD=X,LONG,2025-07-11,0.8999999761581421,0.8875436428428404,0.9249126427887455,1011,True,False,False,0.134,2025-07-17,0.8875436428428404,LOSS,4.0,forex
AUDCAD=X,LONG,2025-09-12,0.9221199750900269,0.9102693900183912,0.9458211452332981,1056,True,False,False,0.221,2025-09-19,0.9102693900183912,LOSS,5.0,forex
AUDCAD=X,LONG,2025-12-04,0.9214400053024292,0.911944520577941,0.9404309747514057,1115,True,False,False,0.188,2025-12-16,0.911944520577941,LOSS,8.0,forex
AUDCAD=X,LONG,2026-01-07,0.9304699897766113,0.9197867245660227,0.9518365201977885,1137,True,False,False,0.382,2026-01-28,0.9518365201977885,WIN,15.0,forex
AUDCAD=X,LONG,2026-02-23,0.9705309867858887,0.9565347634435776,0.9985234334705109,1170,True,False,False,0.119,2026-03-03,0.9565347634435776,LOSS,6.0,forex
AUDCAD=X,LONG,2026-04-08,0.9795460104942322,0.9609360241202844,1.0167659832421276,1202,True,False,False,0.372,,,OPEN,,forex
