pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,volume_used,exit_date,exit_price,outcome,bars_held,asset_class
BTC-USD,SHORT,2022-05-05,36575.140625,39857.24159703022,30010.938680939566,274,False,True,2022-05-10,30010.938680939566,WIN,5,crypto
BTC-USD,SHORT,2022-08-19,20877.552734375,22835.503351185955,16961.65150075309,380,False,True,2022-11-09,16961.65150075309,WIN,82,crypto
BTC-USD,SHORT,2023-06-05,25760.09765625,27339.216659458354,22601.85964983329,670,False,True,2023-06-20,27339.216659458354,LOSS,15,crypto
BTC-USD,LONG,2023-07-13,31476.048828125,29798.723746698644,34830.69899097771,708,False,True,2023-07-17,29798.723746698644,LOSS,4,crypto
BTC-USD,SHORT,2023-08-17,26664.55078125,28048.96863634479,23895.71507106042,743,False,True,2023-08-29,28048.96863634479,LOSS,12,crypto
BTC-USD,LONG,2024-01-02,44957.96875,42130.15536537187,50613.595519256254,881,False,True,2024-01-03,42130.15536537187,LOSS,1,crypto
BTC-USD,LONG,2024-01-08,46970.50390625,43522.38036027161,53866.750998206786,887,False,True,2024-01-12,43522.38036027161,LOSS,4,crypto
ETH-USD,SHORT,2022-01-06,3418.408203125,3827.2952641282595,2600.634081118481,155,False,True,2022-01-21,2600.634081118481,WIN,15,crypto
ETH-USD,LONG,2022-10-25,1461.6654052734375,1348.8382932454374,1687.3196293294377,447,False,True,2022-11-08,1348.8382932454374,LOSS,14,crypto
ETH-USD,SHORT,2023-06-10,1752.384765625,1868.5224772522572,1520.1093423704856,675,False,True,2023-06-21,1868.5224772522572,LOSS,11,crypto
ETH-USD,LONG,2023-07-13,2006.511474609375,1890.0759745552086,2239.3824747177077,708,False,True,2023-07-17,1890.0759745552086,LOSS,4,crypto
ETH-USD,SHORT,2023-08-17,1684.9334716796875,1778.3341471343701,1498.1321207703222,743,False,True,2023-10-23,1778.3341471343701,LOSS,67,crypto
ETH-USD,LONG,2024-01-10,2582.103515625,2355.298830550963,3035.712885773074,889,False,True,2024-01-22,2355.298830550963,LOSS,12,crypto
SOL-USD,LONG,2022-03-24,102.22369384765625,89.66149457262367,127.34809239772142,232,False,True,2022-03-31,127.34809239772142,WIN,7,crypto
SOL-USD,LONG,2022-07-18,43.746158599853516,37.30117446553709,56.63612686848637,348,True,True,2022-07-25,37.30117446553709,LOSS,7,crypto
SOL-USD,LONG,2022-09-12,37.4241828918457,33.13785351758094,45.99684164037522,404,False,True,2022-09-13,33.13785351758094,LOSS,1,crypto
SOL-USD,SHORT,2022-10-13,30.544519424438477,33.776404140144464,24.0807499930265,435,False,True,2022-10-31,33.776404140144464,LOSS,18,crypto
SOL-USD,LONG,2023-04-11,23.018827438354492,20.657163322504275,27.742155670054927,615,False,True,2023-04-26,20.657163322504275,LOSS,15,crypto
SOL-USD,SHORT,2023-06-07,18.6342830657959,20.727370408546918,14.44810838029386,672,False,True,2023-06-10,14.44810838029386,WIN,3,crypto
SOL-USD,SHORT,2023-08-17,21.70997428894043,24.25451271515952,16.620897436502247,743,False,True,2023-10-01,24.25451271515952,LOSS,45,crypto
SOL-USD,LONG,2024-02-28,118.05220031738281,105.52159901879264,143.11340291456315,938,False,True,2024-03-07,143.11340291456315,WIN,8,crypto
XRP-USD,LONG,2022-11-04,0.5044040083885193,0.46037894463476664,0.5924541358960246,457,False,True,2022-11-08,0.46037894463476664,LOSS,4,crypto
XRP-USD,LONG,2023-01-11,0.37415799498558044,0.34878919527533897,0.4248955944060634,525,True,True,2023-01-23,0.4248955944060634,WIN,12,crypto
XRP-USD,SHORT,2023-02-09,0.38246598839759827,0.4140292522941975,0.31933946060439977,554,False,True,2023-03-21,0.4140292522941975,LOSS,40,crypto
XRP-USD,LONG,2023-07-13,0.8153650164604187,0.7272995546694165,0.991495940042423,708,True,True,2023-07-14,0.7272995546694165,LOSS,1,crypto
XRP-USD,SHORT,2023-09-11,0.474373996257782,0.510716822085595,0.40168834460215597,768,False,True,2023-09-19,0.510716822085595,LOSS,8,crypto
