pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,ema_aligned,volume_confirmed,volume_used,breakout_strength_atr,exit_date,exit_price,outcome,bars_held,strategy,asset_class,rsi_divergence
CVX-USD,LONG,2021-10-09,12.247929573059082,9.664693460392183,17.41440179839288,60,True,False,True,0.523,2021-10-13,17.41440179839288,WIN,4,donchian,crypto,
DOT-USD,LONG,2021-10-09,36.3274040222168,30.102743425058343,48.776725216533706,60,True,False,True,0.327,2021-11-01,48.776725216533706,WIN,23,donchian,crypto,
KAVA-USD,LONG,2021-10-09,6.735270023345947,5.543313372346427,9.119183325344988,60,True,False,True,0.102,2021-10-12,5.543313372346427,LOSS,3,donchian,crypto,
MANA-USD,LONG,2021-10-09,0.8397129774093628,0.7116312536939321,1.0958764248402242,60,True,False,True,0.171,2021-10-29,1.0958764248402242,WIN,20,donchian,crypto,
QTUM-USD,LONG,2021-10-09,14.967723846435547,12.310087765907694,20.282996007491253,60,True,True,True,0.229,2021-10-17,12.310087765907694,LOSS,8,donchian,crypto,
STX-USD,LONG,2021-10-09,1.85856294631958,1.5323403960260975,2.511008046906545,60,True,True,True,2.263,2021-10-10,2.511008046906545,WIN,1,donchian,crypto,
VET-USD,LONG,2021-10-09,0.11817599833011627,0.09863895772247705,0.15725007954539472,60,True,False,True,0.042,2021-11-05,0.15725007954539472,WIN,27,donchian,crypto,
WOO-USD,LONG,2021-10-09,1.093019962310791,0.8911579999463919,1.4967438870395893,60,True,False,True,0.644,2021-10-12,0.8911579999463919,LOSS,3,donchian,crypto,
XRP-USD,LONG,2021-10-09,1.1599260568618774,0.9987935357154631,1.482191099154706,60,True,False,True,0.671,2021-10-27,0.9987935357154631,LOSS,18,donchian,crypto,
ARK-USD,LONG,2021-10-10,2.2071950435638428,1.606674990392282,3.4082351499069645,61,True,True,True,0.303,2021-12-04,1.606674990392282,LOSS,55,donchian,crypto,
GAS-USD,LONG,2021-10-10,10.332168579101562,8.583546526304291,13.829412684696106,61,True,True,True,0.047,2021-10-17,8.583546526304291,LOSS,7,donchian,crypto,
STORJ-USD,LONG,2021-10-10,1.5058679580688477,1.2588686032893928,1.9998666676277574,61,True,True,True,0.267,2021-10-12,1.2588686032893928,LOSS,2,donchian,crypto,
API3-USD,LONG,2021-10-11,4.359619140625,3.4451268290461483,6.188603763782703,62,True,True,True,0.149,2021-10-25,6.188603763782703,WIN,14,donchian,crypto,
BTC-USD,LONG,2021-10-11,57484.7890625,52430.674668518346,67593.01785046331,62,True,False,True,0.429,2021-11-08,67593.01785046331,WIN,28,donchian,crypto,
JASMY-USD,LONG,2021-10-11,0.09103000164031982,0.07049712633516439,0.1320957522506307,62,True,True,True,2.351,2021-10-12,0.07049712633516439,LOSS,1,donchian,crypto,
WAVES-USD,LONG,2021-10-12,29.694150924682617,24.55819620078614,39.966060372475575,63,True,True,True,0.289,2021-10-27,24.55819620078614,LOSS,15,donchian,crypto,
ARB-USD,LONG,2021-10-13,0.004019000101834536,0.0031586451895136676,0.0057397099264762715,64,False,False,False,0.96,2021-11-23,0.0031586451895136676,LOSS,41,donchian,crypto,
BNB-USD,LONG,2021-10-13,470.74969482421875,415.32628963911714,581.596505194422,64,True,True,True,0.751,2021-11-05,581.596505194422,WIN,23,donchian,crypto,
RLC-USD,LONG,2021-10-13,4.412593841552734,3.629448540325255,5.978884444007693,64,True,True,True,0.528,2021-11-02,5.978884444007693,WIN,20,donchian,crypto,
ETH-USD,LONG,2021-10-14,3786.01416015625,3373.7010362502933,4610.640407968163,65,True,False,True,0.573,2021-11-03,4610.640407968163,WIN,20,donchian,crypto,
GNO-USD,LONG,2021-10-14,322.9682922363281,287.3134148751505,394.2780469586834,65,True,False,True,0.293,2021-10-25,394.2780469586834,WIN,11,donchian,crypto,
BNT-USD,LONG,2021-10-15,4.136178016662598,3.699023359037225,5.010487331913343,66,True,False,True,0.299,2021-11-10,3.699023359037225,LOSS,26,donchian,crypto,
DODO-USD,LONG,2021-10-15,1.7294230461120605,1.375308188711847,2.4376527609124876,66,True,True,True,0.711,2021-10-27,1.375308188711847,LOSS,12,donchian,crypto,
GRT-USD,LONG,2021-10-15,0.8100929856300354,0.6794342267686908,1.0714105033527246,66,False,True,True,0.365,2021-10-26,1.0714105033527246,WIN,11,donchian,crypto,
LTC-USD,LONG,2021-10-15,188.8141326904297,165.0187443008322,236.40490946962467,66,True,False,True,0.178,2021-11-09,236.40490946962467,WIN,25,donchian,crypto,
MASK-USD,LONG,2021-10-15,6933.75048828125,5318.424316942561,10164.402830958628,66,True,False,False,0.398,2021-10-21,5318.424316942561,LOSS,6,donchian,crypto,
XLM-USD,LONG,2021-10-16,0.39610299468040466,0.34019277187138364,0.5079234402984467,67,True,True,True,0.5,2021-10-27,0.34019277187138364,LOSS,11,donchian,crypto,
SYS-USD,LONG,2021-10-17,0.47234299778938293,0.357579061377463,0.7018708706132228,68,True,True,True,2.531,2021-10-20,0.357579061377463,LOSS,3,donchian,crypto,
WOO-USD,LONG,2021-10-17,1.163985013961792,0.9483554652799333,1.5952441113255094,68,True,False,True,0.559,2021-11-11,1.5952441113255094,WIN,25,donchian,crypto,
ZEC-USD,LONG,2021-10-17,137.54054260253906,120.62738052035903,171.36686676689914,68,True,True,True,0.978,2021-10-23,171.36686676689914,WIN,6,donchian,crypto,
ANKR-USD,LONG,2021-10-18,0.10320500284433365,0.08739480492896153,0.1348253986750779,69,True,True,True,0.862,2021-10-27,0.08739480492896153,LOSS,9,donchian,crypto,
STX-USD,LONG,2021-10-18,2.587332010269165,2.0581669344752,3.6456621618570955,69,True,True,True,0.175,2021-10-27,2.0581669344752,LOSS,9,donchian,crypto,
1INCH-USD,LONG,2021-10-19,3.738239049911499,3.139988960505414,4.934739228723669,70,True,False,True,0.311,2021-10-27,4.934739228723669,WIN,8,donchian,crypto,
CVX-USD,LONG,2021-10-19,18.913951873779297,15.111986133760258,26.517883353817375,70,True,True,True,0.42,2021-10-25,26.517883353817375,WIN,6,donchian,crypto,
INJ-USD,LONG,2021-10-19,13.418448448181152,11.17511771756044,17.905109909422578,70,True,True,True,0.34,2021-10-27,11.17511771756044,LOSS,8,donchian,crypto,
OKB-USD,LONG,2021-10-19,19.620641708374023,16.79170007288846,25.27852497934515,70,True,True,True,0.666,2021-10-20,25.27852497934515,WIN,1,donchian,crypto,
ONE-USD,LONG,2021-10-19,0.0020359999034553766,0.001695033714886646,0.0027179322805928378,70,True,False,False,0.458,2021-11-07,0.0027179322805928378,WIN,19,donchian,crypto,
UMA-USD,LONG,2021-10-19,13.991630554199219,11.778845234313904,18.41720119396985,70,True,True,True,1.88,2021-10-23,11.778845234313904,LOSS,4,donchian,crypto,
CTSI-USD,LONG,2021-10-20,0.8688809871673584,0.6938833606532199,1.2188762401956355,71,True,True,True,0.871,2021-11-11,1.2188762401956355,WIN,22,donchian,crypto,
DASH-USD,LONG,2021-10-20,201.2010955810547,175.8367959099489,251.92969492326625,71,True,False,True,0.265,2021-10-27,175.8367959099489,LOSS,7,donchian,crypto,
ENJ-USD,LONG,2021-10-20,1.8495700359344482,1.5625121679376357,2.4236857719280733,71,True,True,True,0.609,2021-10-29,2.4236857719280733,WIN,9,donchian,crypto,
CELO-USD,LONG,2021-10-21,6.959898948669434,5.769571705988488,9.340553434031325,72,True,False,True,0.251,2021-11-10,5.769571705988488,LOSS,20,donchian,crypto,
NEAR-USD,LONG,2021-10-21,9.40963077545166,7.835628296244002,12.557635733866977,72,True,True,True,0.654,2021-10-25,12.557635733866977,WIN,4,donchian,crypto,
SOL-USD,LONG,2021-10-21,190.3184356689453,162.59616861399306,245.76296977884982,72,True,True,True,0.963,2021-11-03,245.76296977884982,WIN,13,donchian,crypto,
ZEN-USD,LONG,2021-10-21,86.0657958984375,72.85363732933206,112.49011303664838,72,True,False,True,0.05,2021-10-27,72.85363732933206,LOSS,6,donchian,crypto,
CRV-USD,LONG,2021-10-22,3.3362650871276855,2.810810275280586,4.387174710821885,73,True,True,True,0.72,2021-10-25,4.387174710821885,WIN,3,donchian,crypto,
FTM-USD,LONG,2021-10-22,2.613914966583252,2.1261114697093864,3.589521960330983,73,True,False,True,0.532,2021-11-16,2.1261114697093864,LOSS,25,donchian,crypto,
OKB-USD,LONG,2021-10-22,28.69647789001465,24.332733300023143,37.42396706999766,73,True,True,True,1.046,2021-10-26,24.332733300023143,LOSS,4,donchian,crypto,
RUNE-USD,LONG,2021-10-22,10.889989852905273,9.036307332199367,14.597354894317085,73,True,True,True,1.499,2021-10-30,14.597354894317085,WIN,8,donchian,crypto,
GMX-USD,LONG,2021-10-23,0.0009410000056959689,0.0005429121991833036,0.0017371756187212993,73,False,True,True,0.191,2021-11-15,0.0017371756187212993,WIN,23,donchian,crypto,
LINK-USD,LONG,2021-10-23,31.459808349609375,27.449305097871317,39.48081485308549,74,True,False,True,0.728,2021-11-18,27.449305097871317,LOSS,26,donchian,crypto,
DOGE-USD,LONG,2021-10-24,0.2770479917526245,0.24042047834234742,0.3503030185731787,75,True,True,True,0.302,2021-10-27,0.24042047834234742,LOSS,3,donchian,crypto,
EGLD-USD,LONG,2021-10-24,283.7901611328125,243.75019476113204,363.8700938761734,75,True,False,True,0.201,2021-10-27,243.75019476113204,LOSS,3,donchian,crypto,
SHIB-USD,LONG,2021-10-24,3.600000127335079e-05,2.8147266585223863e-05,5.1705470649604644e-05,75,True,True,True,0.255,2021-10-27,5.1705470649604644e-05,WIN,3,donchian,crypto,
AVAX-USD,LONG,2021-10-25,69.82469177246094,59.09102230799371,91.29203070139539,76,True,False,True,0.135,2021-10-27,59.09102230799371,LOSS,2,donchian,crypto,
CRO-USD,LONG,2021-10-25,0.20095400512218475,0.18219335360513808,0.2384753081562781,76,True,False,True,0.229,2021-11-02,0.2384753081562781,WIN,8,donchian,crypto,
ZIL-USD,LONG,2021-10-25,0.11079400032758713,0.0956990198572512,0.140983961268259,76,True,True,True,0.432,2021-10-27,0.0956990198572512,LOSS,2,donchian,crypto,
ATOM-USD,LONG,2021-10-26,43.216392517089844,36.302436068375805,57.04430541451792,77,True,True,True,1.52,2021-10-27,36.302436068375805,LOSS,1,donchian,crypto,
BAND-USD,LONG,2021-10-26,9.581491470336914,8.264392455377045,12.215689500256651,77,True,True,True,0.481,2021-10-28,8.264392455377045,LOSS,2,donchian,crypto,
GNO-USD,LONG,2021-10-26,412.17724609375,372.71226390215713,491.10721047693573,77,True,True,True,0.099,2021-11-03,491.10721047693573,WIN,8,donchian,crypto,
JASMY-USD,LONG,2021-10-26,0.11253000050783157,0.08570102711221184,0.16618794729907105,77,True,True,True,1.38,2021-11-01,0.16618794729907105,WIN,6,donchian,crypto,
