Aantal trades,Winrate (%),Gem. resultaat (R),Totaal resultaat (R),Max drawdown (R),Gem. trade-duur (dagen),Nog open aan einde data,Aantal wins,Aantal losses,Pair
14,50.0,0.5,7.0,3.0,47.8,0,7.0,7.0,NZDCHF
6,66.7,1.0,6.0,2.0,21.8,0,4.0,2.0,EURJPY
15,46.7,0.4,6.0,5.0,28.6,0,7.0,8.0,MXNJPY
4,75.0,1.25,5.0,1.0,33.5,1,3.0,1.0,AUDJPY
17,41.2,0.235,4.0,4.0,22.5,1,7.0,10.0,GBPNZD
5,60.0,0.8,4.0,1.0,34.2,1,3.0,2.0,EURSEK
6,50.0,0.5,3.0,1.0,42.2,0,3.0,3.0,AUDCHF
3,66.7,1.0,3.0,1.0,69.3,1,2.0,1.0,EURGBP
4,50.0,0.5,2.0,1.0,31.0,1,2.0,2.0,AUDCAD
2,50.0,0.5,1.0,1.0,84.0,0,1.0,1.0,CHFJPY
14,35.7,0.071,1.0,5.0,36.7,1,5.0,9.0,ZARJPY
2,50.0,0.5,1.0,1.0,58.5,0,1.0,1.0,GBPJPY
5,40.0,0.2,1.0,2.0,37.6,0,2.0,3.0,GBPCHF
6,33.3,0.0,0.0,2.0,12.8,0,2.0,4.0,EURUSD
3,33.3,0.0,0.0,1.0,41.3,1,1.0,2.0,EURCHF
6,33.3,0.0,0.0,3.0,22.0,0,2.0,4.0,NZDJPY
0,0.0,0.0,0.0,0.0,0.0,0,,,USDTRY
3,33.3,0.0,0.0,2.0,39.0,1,1.0,2.0,GBPAUD
6,33.3,0.0,0.0,3.0,11.0,1,2.0,4.0,GBPCAD
6,33.3,0.0,0.0,2.0,43.7,0,2.0,4.0,AUDUSD
6,33.3,0.0,0.0,3.0,18.0,0,2.0,4.0,USDILS
16,31.2,-0.062,-1.0,3.0,20.2,0,5.0,11.0,HKDJPY
4,25.0,-0.25,-1.0,2.0,14.8,1,1.0,3.0,USDZAR
4,25.0,-0.25,-1.0,2.0,22.0,0,1.0,3.0,SGDJPY
7,28.6,-0.143,-1.0,4.0,9.6,1,2.0,5.0,USDCHF
1,0.0,-1.0,-1.0,1.0,38.0,0,0.0,1.0,USDJPY
4,25.0,-0.25,-1.0,3.0,11.0,1,1.0,3.0,EURAUD
4,25.0,-0.25,-1.0,3.0,22.5,1,1.0,3.0,AUDNZD
4,25.0,-0.25,-1.0,2.0,23.0,1,1.0,3.0,CADJPY
19,31.6,-0.053,-1.0,7.0,29.5,0,6.0,13.0,PLNJPY
5,20.0,-0.4,-2.0,4.0,11.8,0,1.0,4.0,EURNOK
5,20.0,-0.4,-2.0,2.0,30.8,1,1.0,4.0,EURCAD
5,20.0,-0.4,-2.0,4.0,15.2,0,1.0,4.0,USDPLN
2,0.0,-1.0,-2.0,2.0,11.0,1,0.0,2.0,USDMXN
5,20.0,-0.4,-2.0,4.0,23.8,1,1.0,4.0,USDSEK
3,0.0,-1.0,-3.0,3.0,14.3,0,0.0,3.0,USDCAD
12,25.0,-0.25,-3.0,9.0,36.9,0,3.0,9.0,TRYJPY
3,0.0,-1.0,-3.0,3.0,25.7,1,0.0,3.0,USDHUF
7,14.3,-0.571,-4.0,4.0,27.9,0,1.0,6.0,NZDUSD
22,27.3,-0.182,-4.0,7.0,16.9,1,6.0,16.0,GBPUSD
7,14.3,-0.571,-4.0,5.0,32.0,0,1.0,6.0,EURNZD
19,26.3,-0.211,-4.0,8.0,30.8,1,5.0,14.0,NZDCAD
5,0.0,-1.0,-5.0,5.0,12.0,1,0.0,5.0,CADCHF
8,0.0,-1.0,-8.0,8.0,13.2,0,0.0,8.0,USDNOK
