pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,adx_strong,exit_date,exit_price,outcome,bars_held,asset_class
EURUSD,SHORT,2025-11-11,1.1557220220565796,1.1688578833623753,1.1294502994449882,1111,False,False,2025-12-11,1.1688578833623753,LOSS,22.0,forex
EURUSD,SHORT,2026-01-20,1.1639139652252197,1.1755278421064177,1.1406862114628238,1159,True,False,2026-01-23,1.1755278421064177,LOSS,3.0,forex
EURUSD,SHORT,2026-02-26,1.181516408920288,1.1953977756408611,1.153753675479142,1186,False,False,2026-03-03,1.153753675479142,WIN,3.0,forex
EURUSD,SHORT,2026-03-23,1.1560158729553223,1.1755482306304723,1.1169511576050222,1203,False,True,2026-04-14,1.1755482306304723,LOSS,16.0,forex
EURUSD,SHORT,2026-05-29,1.1652837991714478,1.1776139356522943,1.1406235262097546,1252,False,False,2026-06-23,1.1406235262097546,WIN,17.0,forex
EURUSD,SHORT,2026-07-10,1.1433405876159668,1.1554923983869836,1.1190369660739332,1282,False,True,2026-08-03,1.1554923983869836,LOSS,16.0,forex
GBPUSD,SHORT,2022-07-22,1.1996161937713623,1.2278116798705743,1.1432252215729384,252,False,True,2022-08-01,1.2278116798705743,LOSS,6.0,forex
GBPUSD,SHORT,2022-08-18,1.2045146226882935,1.2312369871690987,1.151069893726683,271,False,False,2022-09-01,1.151069893726683,WIN,10.0,forex
GBPUSD,LONG,2023-02-02,1.2390038967132568,1.2147956426678108,1.2874204048041489,391,False,False,2023-02-03,1.2147956426678108,LOSS,1.0,forex
GBPUSD,LONG,2023-03-15,1.215214490890503,1.184811599531608,1.2760202736082928,420,False,False,2023-06-15,1.2760202736082928,WIN,66.0,forex
GBPUSD,LONG,2023-07-21,1.2872332334518433,1.2632921942640907,1.3351153118273484,512,False,True,2023-08-03,1.2632921942640907,LOSS,9.0,forex
GBPUSD,SHORT,2023-08-30,1.2636793851852417,1.2839302426385457,1.2231776702786337,540,False,False,2023-09-25,1.2231776702786337,WIN,18.0,forex
GBPUSD,SHORT,2023-10-10,1.2250398397445679,1.2449007598271185,1.1853179995794667,569,False,True,2023-11-14,1.2449007598271185,LOSS,25.0,forex
GBPUSD,LONG,2024-01-02,1.2728800773620605,1.2527507189730431,1.3131387941400954,629,False,True,2024-02-05,1.2527507189730431,LOSS,24.0,forex
GBPUSD,LONG,2024-02-28,1.268166422843933,1.2535322781505258,1.2974347122307477,670,False,False,2024-04-10,1.2535322781505258,LOSS,30.0,forex
GBPUSD,SHORT,2024-04-25,1.2459505796432495,1.2646206835642568,1.2086103718012349,711,False,False,2024-05-15,1.2646206835642568,LOSS,14.0,forex
GBPUSD,LONG,2024-07-29,1.2868356704711914,1.2726803793724484,1.3151462526686775,778,False,False,2024-08-02,1.2726803793724484,LOSS,4.0,forex
GBPUSD,LONG,2024-09-10,1.307138204574585,1.2899457414240147,1.3415231308757254,809,False,True,2024-09-25,1.3415231308757254,WIN,11.0,forex
GBPUSD,LONG,2024-10-03,1.326611876487732,1.30542276367138,1.3689901021204358,826,False,True,2024-10-10,1.30542276367138,LOSS,5.0,forex
GBPUSD,SHORT,2024-12-02,1.270163893699646,1.2917752615754754,1.2269411579479872,868,False,True,2025-01-09,1.2269411579479872,WIN,27.0,forex
GBPUSD,SHORT,2025-01-24,1.2353914976119995,1.2611331806994104,1.1839081314371778,906,False,False,2025-02-14,1.2611331806994104,LOSS,15.0,forex
GBPUSD,LONG,2025-04-01,1.292089819908142,1.2749937940609262,1.326281871602574,953,False,True,2025-04-07,1.2749937940609262,LOSS,4.0,forex
GBPUSD,LONG,2025-05-12,1.3289036750793457,1.304053405123414,1.378604214991209,980,False,True,2025-07-01,1.378604214991209,WIN,36.0,forex
GBPUSD,LONG,2025-07-07,1.3651504516601562,1.3439140342250977,1.4076232865302734,1020,False,False,2025-07-14,1.3439140342250977,LOSS,5.0,forex
GBPUSD,LONG,2025-08-20,1.348679542541504,1.329648707416031,1.3867412127924497,1052,False,False,2025-10-09,1.329648707416031,LOSS,36.0,forex
GBPUSD,SHORT,2025-11-26,1.315870761871338,1.3333330294363417,1.2809462267413303,1122,False,True,2025-12-03,1.3333330294363417,LOSS,5.0,forex
GBPUSD,SHORT,2026-01-16,1.3381328582763672,1.3543304728003402,1.305737629228421,1157,False,False,2026-01-23,1.3543304728003402,LOSS,5.0,forex
GBPUSD,LONG,2026-02-09,1.3608959913253784,1.3381254714390205,1.4064370310980943,1173,False,True,2026-03-02,1.3381254714390205,LOSS,15.0,forex
GBPUSD,SHORT,2026-05-27,1.345532774925232,1.3637805075782783,1.3090373096191392,1250,True,False,,,OPEN,,forex
USDJPY,LONG,2025-12-01,155.92799377441406,153.5527662607915,160.67844880165921,1125,False,True,2026-01-26,153.5527662607915,LOSS,38.0,forex
USDCHF,SHORT,2024-09-30,0.840499997138977,0.8549977934923128,0.8115044044323056,823,False,True,2024-10-04,0.8549977934923128,LOSS,4.0,forex
USDCHF,LONG,2024-12-02,0.8820269703865051,0.86914572331408,0.9077894645313553,868,False,True,2024-12-25,0.9077894645313553,WIN,17.0,forex
USDCHF,LONG,2025-11-11,0.8051599860191345,0.7938965526660922,0.8276868527252192,1111,False,False,2025-11-13,0.7938965526660922,LOSS,2.0,forex
USDCHF,LONG,2025-11-27,0.8034899830818176,0.7915405763005466,0.8273887966443596,1123,False,False,2025-12-23,0.7915405763005466,LOSS,18.0,forex
USDCHF,LONG,2026-01-13,0.7973600029945374,0.7874982300618092,0.8170835488599937,1154,False,False,2026-01-23,0.7874982300618092,LOSS,8.0,forex
USDCHF,LONG,2026-04-30,0.7905600070953369,0.7779283371390434,0.8158233470079239,1231,False,False,2026-05-01,0.7779283371390434,LOSS,1.0,forex
USDCHF,LONG,2026-05-27,0.7851099967956543,0.7748011561632323,0.8057276780604983,1250,True,False,2026-06-19,0.8057276780604983,WIN,17.0,forex
