pair,direction,entry_date,entry_price,stop_loss,take_profit,entry_bar,rsi_divergence,volume_used,exit_date,exit_price,outcome,bars_held,asset_class
AUDCAD=X,LONG,2024-06-13,0.9142100214958191,0.9030874834758238,0.9364550975358097,744,False,False,2024-07-25,0.9030874834758238,LOSS,30.0,forex
AUDCAD=X,SHORT,2024-12-11,0.9032999873161316,0.9181679487861585,0.8735640643760778,873,False,False,2025-04-04,0.8735640643760778,WIN,81.0,forex
AUDCHF=X,SHORT,2022-08-18,0.6589000225067139,0.6738159102714705,0.6290682469772007,269,False,False,2022-08-30,0.6738159102714705,LOSS,8.0,forex
AUDCHF=X,SHORT,2022-12-16,0.6220719814300537,0.6378815789009903,0.5904527864881806,355,False,False,2023-01-04,0.6378815789009903,LOSS,13.0,forex
AUDCHF=X,LONG,2025-08-11,0.5262600183486938,0.5175363254081758,0.5437074042297299,1043,False,False,2025-08-20,0.5175363254081758,LOSS,7.0,forex
AUDCHF=X,SHORT,2025-10-15,0.5203070044517517,0.5302776916965785,0.5003656299620982,1090,False,False,2025-12-04,0.5302776916965785,LOSS,36.0,forex
AUDCHF=X,LONG,2026-02-03,0.5417600274085999,0.5294526728275851,0.5663747365706293,1167,False,False,2026-04-28,0.5663747365706293,WIN,60.0,forex
AUDJPY=X,LONG,2023-08-30,94.54399871826172,92.73505003435433,98.1618960860765,538,False,False,2023-11-15,98.1618960860765,WIN,55.0,forex
AUDNZD=X,LONG,2022-01-20,1.0642199516296387,1.053415413647357,1.085829027594202,119,False,False,2022-03-29,1.085829027594202,WIN,48.0,forex
AUDNZD=X,SHORT,2023-04-06,1.0628600120544434,1.0802380331266532,1.0281039699100236,434,False,False,2023-04-13,1.0802380331266532,LOSS,5.0,forex
AUDNZD=X,LONG,2023-09-15,1.089359998703003,1.074822816606174,1.1184343628966609,550,False,False,2023-09-26,1.074822816606174,LOSS,7.0,forex
AUDNZD=X,SHORT,2024-01-10,1.0713599920272827,1.0846804106298666,1.0447191548221149,633,False,False,2024-03-21,1.0846804106298666,LOSS,51.0,forex
AUDNZD=X,LONG,2024-04-25,1.0944980382919312,1.0852305063585073,1.113033102158779,709,False,False,2024-05-23,1.0852305063585073,LOSS,20.0,forex
AUDNZD=X,SHORT,2025-01-30,1.1013489961624146,1.1102330172856363,1.083580953915971,908,False,False,2025-02-06,1.1102330172856363,LOSS,5.0,forex
